feature,importance
failures,0.06761745494567589
absences,0.06620351619478639
Medu,0.05115085415757274
age,0.04745305233939209
goout,0.044885855959639856
Fedu,0.043147215943670145
Walc,0.04298481172140849
freetime,0.04261706804719655
health,0.04246470295625039
course_por,0.04009489821374801
famrel,0.03609403424599393
studytime,0.033828123279952514
Dalc,0.028856937174324557
traveltime,0.024348556071825376
schoolsup_yes,0.023784698298662678
higher_yes,0.020849386109276637
school_MS,0.02003526764987177
paid_yes,0.01996415241679785
sex_M,0.019954736538607607
famsup_yes,0.018203953677138174
activities_yes,0.018120758866888274
romantic_yes,0.017254711656184318
guardian_mother,0.016784185456836007
Fjob_other,0.016647286062409717
famsize_LE3,0.01646452875437663
Mjob_other,0.016460348185296337
nursery_yes,0.016147758199139235
internet_yes,0.015826700877460728
reason_reputation,0.015731641602884067
address_U,0.014499082672893099
Mjob_services,0.014484819559012907
Fjob_services,0.013488736733678043
reason_home,0.013062806356039725
Mjob_health,0.011103293831566198
Pstatus_T,0.01039594070904646
Fjob_teacher,0.009860601296630474
Mjob_teacher,0.008811472039745739
reason_other,0.008762264769342594
guardian_other,0.006488138678754837
Fjob_health,0.005065647750022976
